이름,1학기 노쇼,1학기 벌금,1학기 지각(분) ,1학기 회비,1학기촬영 쿼터 수,2학기 노쇼,2학기 벌금,2학기 지각(분),2학기 촬영 쿼터 수,2학기 회비,공격포인트,도움,득점,등번호,분류,주 포지션 분류,주포지션 세부,학번,학번(10자리),활동 학기
player1,,0,,,,,0,,,,0,,,No. 17,선수,MF,CDM,24학번,,1학기
player2,,0,,,,,0,,,,0,,,,선수,MF,CDM,24학번,,1학기
player3,,0,,,,,0,,,,0,,,No. 41,선수,MF,CDM,23학번,,1학기
player4,,0,,,,,0,,,,0,,,No. 5,선수,DF,CB,21학번,,1학기
player5,,0,,,,,0,,,,0,,,No. 20,"OB, 선수",MF,CM,20학번,,1학기
player6,,0,,,,,0,,,,0,,,,선수,GK,GK,22학번,,1학기
player7,,0,,,,,0,,,,0,,,No. 1,"선수, 주장",GK,GK,21학번,,1학기
player8,,0,,,,,0,,,,0,,,,선수,,,23학번,,1학기
player9,,0,,,,,0,,,,0,,,No. 15,선수,DF,CB,21학번,,1학기
player10,,0,,,,,0,,,,0,,,No. 8,선수,MF,CM,21학번,,1학기
player11,,0,,,,,0,,,,0,,,,"OB, 매니저",,,22학번,,1학기
player12,,0,,,,,0,,,,0,,,No. 25,선수,DF,"LB, RB",23학번,,1학기
player13,,0,,,,,0,,,,0,,,No. 4,선수,DF,CB,22학번,,1학기
player14,,0,,,,,0,,,,0,,,No. 22,"선수, 임원",DF,LB,21학번,,1학기
player15,,0,,,,,0,,,,0,,,No. 3,선수,DF,"LB, RB",23학번,,1학기
player16,,0,,,,,0,,,,0,,,No. 19,선수,FW,LW,24학번,,1학기
player17,,0,,,,,0,,,,0,,,No. 33,선수,FW,RW,23학번,,1학기
player18,,0,,,,,0,,,,0,,,,선수,MF,CM,21학번,,1학기
player19,,0,,,,,0,,,,0,,,,선수,MF,,23학번,,1학기
player20,,0,,,,,0,,,,0,,,No. 20,선수,FW,,20학번,,1학기
player21,,0,,,,,0,,,,0,,,No. 12,선수,DF,CB,23학번,,1학기
player22,,0,,,,,0,,,,0,,,No. 7,"OB, 선수",DF,RB,22학번,,1학기
player23,,0,,,,,0,,,,0,,,No. 13,선수,MF,"CAM, CDM, CM",22학번,,1학기
player24,,0,,,,,0,,,,0,,,No. 37,선수,FW,"LW, RW",21학번,,1학기
player25,,0,,,,,0,,,,0,,,No. 10,선수,MF,CM,21학번,,1학기
player26,,0,,,,,0,,,,0,,,No. 39,선수,DF,CB,24학번,,1학기
player27,,0,,,,,0,,,,0,,,No. 6,"부회장, 선수",MF,CM,23학번,,1학기
player28,,0,,,,,0,,,,0,,,No. 21,선수,DF,"CB, RB",21학번,,1학기
player29,,0,,,,,0,,,,0,,,No. 11,선수,FW,LW,22학번,,1학기
player30,,0,,,,,0,,,,0,,,No. 23,선수,DF,"LB, RB",24학번,,1학기
player31,,0,,,,,0,,,,0,,,No. 7,"선수, 회장",MF,"CAM, CDM, CM",22학번,,1학기
player32,,0,,,,,0,,,,0,,,,선수,,,24학번,,1학기
player33,,0,,,,,0,,,,0,,,No. 55,선수,,,25학번,,1학기
player34,,0,,,,,0,,,,0,,,No. 14,선수,FW,CF,24학번,,1학기
player35,,0,,,,,0,,,,0,,,No. 9,"부주장, 선수",FW,"LW, RW",22학번,,1학기
player36,,0,,,,,0,,,,0,,,No. 40,선수,FW,LW,25학번,,1학기
player37,,0,,,,,0,,,,0,,,,선수,DF,,24학번,,1학기
player38,,0,,,,,0,,,,0,,,No. 16,선수,FW,,25학번,,1학기
player39,,0,,,,,0,,,,0,,,No. 38,선수,FW,"LW, RW",25학번,,1학기
player40,,0,,,,,0,,,,0,,,No. 2,선수,DF,RB,23학번,,1학기
player41,,0,,,,,0,,,,0,,,,선수,DF,"LB, RB",20학번,,1학기
player42,,0,,,,,0,,,,0,,,,선수,FW,CF,23학번,,1학기
player43,,0,,,,,0,,,,0,,,,선수,,,,,1학기
player44,,0,,,,,0,,,,0,,,No. 24,선수,DF,CB,25학번,,1학기
player45,,0,,,,,0,,,,0,,,,선수,,,,,1학기
player46,,0,,,,,0,,,,0,,,,선수,DF,,23학번,,1학기
player47,,0,,,,,0,,,,0,,,,선수,FW,,26학번,,1학기
player48,,0,,,,,0,,,,0,,,,선수,MF,,,,1학기
player49,,0,,,,,0,,,,0,,,,선수,MF,,26학번,,1학기
player50,,0,,,,,0,,,,0,,,,선수,,,26학번,,1학기
player51,,0,,,,,0,,,,0,,,,선수,MF,,26학번,,1학기
player52,,0,,,,,0,,,,0,,,,선수,,,24학번,,1학기
player53,,0,,,,,0,,,,0,,,,선수,,,,,1학기
player54,,0,,,,,0,,,,0,,,,선수,,,21학번,,1학기
player55,,0,,,,,0,,,,0,,,,선수,,,22학번,,1학기
